Combined_Key,Last_Update,Confirmed,Deaths
Afghanistan,2022-04-11 04:21:02,177974,7671
Albania,2022-04-11 04:21:02,274219,3493
Algeria,2022-04-11 04:21:02,265724,6874
Andorra,2022-04-11 04:21:02,40328,153
Angola,2022-04-11 04:21:02,99194,1900
Antarctica,2022-04-11 04:21:02,11,0
Antigua and Barbuda,2022-04-11 04:21:02,7511,135
Argentina,2022-04-11 04:21:02,9052536,128198
Armenia,2022-04-11 04:21:02,422677,8620
"Australian Capital Territory, Australia",2022-04-11 04:21:02,87634,46
"New South Wales, Australia",2022-04-11 04:21:02,2028020,2532
"Northern Territory, Australia",2022-04-11 04:21:02,54601,36
"Queensland, Australia",2022-04-11 04:21:02,863536,775
"South Australia, Australia",2022-04-11 04:21:02,320753,281
"Tasmania, Australia",2022-04-11 04:21:02,110336,34
"Victoria, Australia",2022-04-11 04:21:02,1391785,2783
"Western Australia, Australia",2022-04-11 04:21:02,251701,82
Austria,2022-04-11 04:21:02,3987385,16226
Azerbaijan,2022-04-11 04:21:02,792237,9703
Bahamas,2022-04-11 04:21:02,33358,789
Bahrain,2022-04-11 04:21:02,560023,1473
Bangladesh,2022-04-11 04:21:02,1952065,29123
Barbados,2022-04-11 04:21:02,62214,379
Belarus,2022-04-11 04:21:02,969616,6872
"Antwerp, Belgium",2022-04-11 04:21:02,622062,0
"Brussels, Belgium",2022-04-11 04:21:02,433172,0
"East Flanders, Belgium",2022-04-11 04:21:02,516826,0
"Flemish Brabant, Belgium",2022-04-11 04:21:02,373052,0
"Hainaut, Belgium",2022-04-11 04:21:02,435540,0
"Liege, Belgium",2022-04-11 04:21:02,361247,0
"Limburg, Belgium",2022-04-11 04:21:02,290369,0
"Luxembourg, Belgium",2022-04-11 04:21:02,101961,0
"Namur, Belgium",2022-04-11 04:21:02,169457,0
"Unknown, Belgium",2022-04-11 04:21:02,56036,30997
"Walloon Brabant, Belgium",2022-04-11 04:21:02,143350,0
"West Flanders, Belgium",2022-04-11 04:21:02,412660,0
Belize,2022-04-11 04:21:02,57318,660
Benin,2022-04-11 04:21:02,26952,163
Bhutan,2022-04-11 04:21:02,42222,14
Bolivia,2022-04-11 04:21:02,903306,21899
Bosnia and Herzegovina,2022-04-11 04:21:02,376081,15732
Botswana,2022-04-11 04:21:02,305526,2686
"Acre, Brazil",2022-04-11 04:21:02,123825,1996
"Alagoas, Brazil",2022-04-11 04:21:02,297026,6905
"Amapa, Brazil",2022-04-11 04:21:02,160360,2128
"Amazonas, Brazil",2022-04-11 04:21:02,581662,14160
"Bahia, Brazil",2022-04-11 04:21:02,1536798,29773
"Ceara, Brazil",2022-04-11 04:21:02,1242835,26817
"Distrito Federal, Brazil",2022-04-11 04:21:02,693413,11610
"Espirito Santo, Brazil",2022-04-11 04:21:02,1042545,14358
"Goias, Brazil",2022-04-11 04:21:02,1305673,26348
"Maranhao, Brazil",2022-04-11 04:21:02,428300,10877
"Mato Grosso, Brazil",2022-04-11 04:21:02,724653,14854
"Mato Grosso do Sul, Brazil",2022-04-11 04:21:02,526092,10513
"Minas Gerais, Brazil",2022-04-11 04:21:02,3345131,61046
"Para, Brazil",2022-04-11 04:21:02,758859,18155
"Paraiba, Brazil",2022-04-11 04:21:02,599571,10197
"Parana, Brazil",2022-04-11 04:21:02,2427041,42978
"Pernambuco, Brazil",2022-04-11 04:21:02,908086,21487
"Piaui, Brazil",2022-04-11 04:21:02,367889,7732
"Rio Grande do Norte, Brazil",2022-04-11 04:21:02,500447,8153
"Rio Grande do Sul, Brazil",2022-04-11 04:21:02,2297261,39160
"Rio de Janeiro, Brazil",2022-04-11 04:21:02,2108417,73039
"Rondonia, Brazil",2022-04-11 04:21:02,396771,7192
"Roraima, Brazil",2022-04-11 04:21:02,155256,2146
"Santa Catarina, Brazil",2022-04-11 04:21:02,1686368,21702
"Sao Paulo, Brazil",2022-04-11 04:21:02,5309342,167706
"Sergipe, Brazil",2022-04-11 04:21:02,326743,6334
"Tocantins, Brazil",2022-04-11 04:21:02,303615,4147
Brunei,2022-04-11 04:21:02,138530,215
Bulgaria,2022-04-11 04:21:02,1145408,36700
Burkina Faso,2022-04-11 04:21:02,20858,382
Burma,2022-04-11 04:21:02,612341,19434
Burundi,2022-04-11 04:21:02,38663,38
Cabo Verde,2022-04-11 04:21:02,55972,401
Cambodia,2022-04-11 04:21:02,135947,3055
Cameroon,2022-04-11 04:21:02,119780,1927
"Alberta, Canada",2022-04-11 04:21:02,546247,4104
"British Columbia, Canada",2022-04-11 04:21:02,357974,3004
"Diamond Princess, Canada",2020-12-21 13:27:30,0,1
"Grand Princess, Canada",2020-12-21 13:27:30,13,0
"Manitoba, Canada",2022-04-11 04:21:02,136573,1751
"New Brunswick, Canada",2022-04-11 04:21:02,48197,349
"Newfoundland and Labrador, Canada",2022-04-11 04:21:02,40336,122
"Northwest Territories,Canada",2022-04-11 04:21:02,11552,21
"Nova Scotia, Canada",2022-04-11 04:21:02,65991,263
"Nunavut, Canada",2022-04-11 04:21:02,3531,7
"Ontario, Canada",2022-04-07 23:21:00,1176866,12498
"Prince Edward Island, Canada",2022-04-11 04:21:02,28375,19
"Quebec, Canada",2022-04-11 04:21:02,992646,14512
"Repatriated Travellers, Canada",2022-04-11 04:21:02,13,0
"Saskatchewan, Canada",2022-04-11 04:21:02,133256,1253
"Yukon, Canada",2022-04-11 04:21:02,3940,24
Central African Republic,2022-04-11 04:21:02,14649,113
Chad,2022-04-11 04:21:02,7349,192
"Antofagasta, Chile",2022-04-11 04:21:02,121905,1746
"Araucania, Chile",2022-04-11 04:21:02,214136,2535
"Arica y Parinacota, Chile",2022-04-11 04:21:02,55124,807
"Atacama, Chile",2022-04-11 04:21:02,65263,577
"Aysen, Chile",2022-04-11 04:21:02,24731,178
"Biobio, Chile",2022-04-11 04:21:02,349789,4221
"Coquimbo, Chile",2022-04-11 04:21:02,124961,1656
"Los Lagos, Chile",2022-04-11 04:21:02,193147,2293
"Los Rios, Chile",2022-04-11 04:21:02,105356,1205
"Magallanes, Chile",2022-04-11 04:21:02,50874,701
"Maule, Chile",2022-04-11 04:21:02,236883,2858
"Metropolitana, Chile",2022-04-11 04:21:02,1341500,28086
"Nuble, Chile",2022-04-11 04:21:02,99063,1082
"OHiggins, Chile",2022-04-11 04:21:02,148340,2485
"Tarapaca, Chile",2022-04-11 04:21:02,79213,1084
"Unknown, Chile",2022-04-11 04:21:02,43,2
"Valparaiso, Chile",2022-04-11 04:21:02,301692,5525
"Anhui, China",2022-04-11 04:21:02,1055,6
"Beijing, China",2022-04-11 04:21:02,1822,9
"Chongqing, China",2022-04-11 04:21:02,693,6
"Fujian, China",2022-04-11 04:21:02,2914,1
"Gansu, China",2022-04-11 04:21:02,681,2
"Guangdong, China",2022-04-11 04:21:02,6703,8
"Guangxi, China",2022-04-11 04:21:02,1522,2
"Guizhou, China",2022-04-11 04:21:02,178,2
"Hainan, China",2022-04-11 04:21:02,245,6
"Hebei, China",2022-04-11 04:21:02,1981,7
"Heilongjiang, China",2022-04-11 04:21:02,2505,13
"Henan, China",2022-04-11 04:21:02,2840,22
"Hong Kong, China",2022-04-11 04:21:02,1190183,8770
"Hubei, China",2022-04-11 04:21:02,68392,4512
"Hunan, China",2022-04-11 04:21:02,1335,4
"Inner Mongolia, China",2022-04-11 04:21:02,1687,1
"Jiangsu, China",2022-04-11 04:21:02,2090,0
"Jiangxi, China",2022-04-11 04:21:02,1065,1
"Jilin, China",2022-04-11 04:21:02,37897,5
"Liaoning, China",2022-04-11 04:21:02,1605,2
"Macau, China",2022-04-11 04:21:02,82,0
"Ningxia, China",2022-04-11 04:21:02,122,0
"Qinghai, China",2022-04-11 04:21:02,43,0
"Shaanxi, China",2022-04-11 04:21:02,3254,3
"Shandong, China",2022-04-11 04:21:02,2648,7
"Shanghai, China",2022-04-11 04:21:02,9336,7
"Shanxi, China",2022-04-11 04:21:02,351,0
"Sichuan, China",2022-04-11 04:21:02,1958,3
"Tianjin, China",2022-04-11 04:21:02,1798,3
"Tibet, China",2022-04-11 04:21:02,1,0
"Unknown, China",2022-04-11 04:21:02,250063,0
"Xinjiang, China",2022-04-11 04:21:02,999,3
"Yunnan, China",2022-04-11 04:21:02,2081,2
"Zhejiang, China",2022-04-11 04:21:02,2827,1
"Amazonas, Colombia",2022-04-11 04:21:02,7568,265
"Antioquia, Colombia",2022-04-11 04:21:02,918088,18246
"Arauca, Colombia",2022-04-11 04:21:02,16310,532
"Atlantico, Colombia",2022-04-11 04:21:02,402168,10127
"Bolivar, Colombia",2022-04-11 04:21:02,197210,3241
"Boyaca, Colombia",2022-04-11 04:21:02,125178,2782
"Caldas, Colombia",2022-04-11 04:21:02,116911,2525
"Capital District, Colombia",2022-04-11 04:21:02,1767225,29353
"Caqueta, Colombia",2022-04-11 04:21:02,24977,1025
"Casanare, Colombia",2022-04-11 04:21:02,41663,1002
"Cauca, Colombia",2022-04-11 04:21:02,72237,1792
"Cesar, Colombia",2022-04-11 04:21:02,106458,2671
"Choco, Colombia",2022-04-11 04:21:02,18586,429
"Cordoba, Colombia",2022-04-11 04:21:02,119018,3931
"Cundinamarca, Colombia",2022-04-11 04:21:02,318075,7282
"Guainia, Colombia",2022-04-11 04:21:02,2765,37
"Guaviare, Colombia",2022-04-11 04:21:02,5587,105
"Huila, Colombia",2022-04-11 04:21:02,100315,3514
"La Guajira, Colombia",2022-04-11 04:21:02,56318,1528
"Magdalena, Colombia",2022-04-11 04:21:02,114820,3621
"Meta, Colombia",2022-04-11 04:21:02,104974,2540
"Narino, Colombia",2022-04-11 04:21:02,104416,3315
"Norte de Santander, Colombia",2022-04-11 04:21:02,119748,5100
"Putumayo, Colombia",2022-04-11 04:21:02,20488,775
"Quindio, Colombia",2022-04-11 04:21:02,70794,2054
"Risaralda, Colombia",2022-04-11 04:21:02,106324,2469
"San Andres y Providencia, Colombia",2022-04-11 04:21:02,10189,155
"Santander, Colombia",2022-04-11 04:21:02,283404,8168
"Sucre, Colombia",2022-04-11 04:21:02,65653,1714
"Tolima, Colombia",2022-04-11 04:21:02,124402,4005
"Unknown, Colombia",2022-04-11 04:21:02,297,300
"Valle del Cauca, Colombia",2022-04-11 04:21:02,540580,15034
"Vaupes, Colombia",2022-04-11 04:21:02,1889,21
"Vichada, Colombia",2022-04-11 04:21:02,3399,61
Comoros,2022-04-11 04:21:02,8099,160
Congo (Brazzaville),2022-04-11 04:21:02,24079,385
Congo (Kinshasa),2022-04-11 04:21:02,86748,1337
Costa Rica,2022-04-11 04:21:02,841343,8327
Cote d'Ivoire,2022-04-11 04:21:02,81828,796
Croatia,2022-04-11 04:21:02,1109066,15685
Cuba,2022-04-11 04:21:02,1096837,8518
Cyprus,2022-04-11 04:21:02,457585,982
Czechia,2022-04-11 04:21:02,3862322,39880
"Faroe Islands, Denmark",2022-04-11 04:21:02,34658,28
"Greenland, Denmark",2022-04-11 04:21:02,11971,21
Denmark,2022-04-11 04:21:02,3085154,5908
Diamond Princess,2022-04-11 04:21:02,712,13
Djibouti,2022-04-11 04:21:02,15594,189
Dominica,2022-04-11 04:21:02,11953,63
Dominican Republic,2022-04-11 04:21:02,578531,4375
Ecuador,2022-04-11 04:21:02,863398,35461
Egypt,2022-04-11 04:21:02,509177,24473
El Salvador,2022-04-11 04:21:02,162089,4122
Equatorial Guinea,2022-04-11 04:21:02,16001,183
Eritrea,2022-04-11 04:21:02,9731,103
Estonia,2022-04-11 04:21:02,564031,2494
Eswatini,2022-04-11 04:21:02,69968,1395
Ethiopia,2022-04-11 04:21:02,470050,7509
Fiji,2022-04-11 04:21:02,64492,834
Finland,2022-04-11 04:21:02,920692,3334
"French Guiana, France",2022-04-11 04:21:02,79529,394
"French Polynesia, France",2022-04-11 04:21:02,72528,648
"Guadeloupe, France",2022-04-11 04:21:02,139516,938
"Martinique, France",2022-04-11 04:21:02,147363,918
"Mayotte, France",2022-04-11 04:21:02,36958,187
"New Caledonia, France",2022-04-11 04:21:02,60494,312
"Reunion, France",2022-04-11 04:21:02,347941,720
"Saint Barthelemy, France",2022-04-11 04:21:02,4313,6
"Saint Pierre and Miquelon, France",2022-04-11 04:21:02,2509,1
"St Martin, France",2022-04-11 04:21:02,10176,63
"Wallis and Futuna, France",2022-04-11 04:21:02,454,7
France,2022-04-11 04:21:02,26235144,140131
Gabon,2022-04-11 04:21:02,47588,303
Gambia,2022-04-11 04:21:02,11990,365
